Rank,Team,Qual Avg,Auto,Container,Coopertition,Litter,Tote,Played
1,148,116.1,0,600,160,1,412,10
2,987,106.3,140,432,200,13,278,10
3,118,83.8,60,336,200,28,244,10
4,1477,73.3,40,268,120,59,252,10
5,4300,65.8,40,220,160,80,200,10
6,3350,65.4,60,232,160,12,196,10
7,3735,65.3,40,204,120,117,184,10
8,704,61.2,28,96,200,116,184,10
9,4499,59.9,24,180,120,28,260,10
10,5431,56.3,12,108,140,27,290,10
11,624,51.0,144,140,80,52,118,10
12,57,50.8,0,116,120,66,230,10
13,3005,50.5,0,120,160,71,168,10
14,4364,49.2,24,156,60,62,218,10
15,5411,47.3,8,168,60,74,166,10
16,5057,47.1,8,120,120,105,130,10
17,1296,46.3,0,96,160,39,198,10
18,2950,45.1,20,116,140,47,152,10
19,3676,44.6,20,120,120,48,168,10
20,457,44.2,40,140,100,25,152,10
21,5417,43.3,0,100,200,43,114,10
22,2848,42.5,60,140,80,55,98,10
23,932,42.3,20,124,0,105,186,10
24,5786,41.7,4,68,160,63,134,10
25,3802,41.2,8,88,120,68,140,10
26,3282,40.6,44,104,80,31,162,10
27,3370,39.3,32,88,100,55,148,10
28,2468,39.3,8,100,80,67,138,10
29,4063,38.4,24,88,40,106,126,10
30,5739,38.2,20,40,160,44,130,10
31,3037,38.2,12,124,60,72,150,10
32,647,37.0,32,84,120,24,122,10
33,4354,36.3,24,124,80,18,138,10
34,4641,36.1,32,72,120,47,102,10
35,2897,35.6,20,72,100,14,150,10
36,1642,34.8,4,80,80,60,136,10
37,3310,34.4,0,80,40,46,196,10
38,3355,33.4,44,60,60,68,126,10
39,5242,32.7,20,72,80,62,116,10
40,3481,32.0,0,88,80,40,118,10
41,4045,31.5,28,104,40,40,112,10
42,5212,31.1,20,28,160,49,88,10
43,5682,30.0,0,60,120,20,132,10
44,2613,30.0,24,96,40,67,106,10
45,4206,28.6,8,80,100,33,90,10
46,5775,28.2,0,36,120,38,112,10
47,4192,28.1,12,44,120,69,76,10
48,4076,19.7,4,28,40,91,88,10
