Rank,Team,Qual Avg,Auto,Container,Coopertition,Litter,Tote,Played
1,5415,60.54,4,96,120,346,118,11
2,3478,58.45,0,108,240,177,154,11
3,4977,51.72,12,132,80,231,120,11
4,4401,49.18,4,100,80,253,122,11
5,3794,46.63,0,96,120,193,110,11
6,3933,46.45,16,96,40,265,120,11
7,3522,46.27,4,80,40,259,132,11
8,2914,43.45,0,68,80,236,124,11
9,4735,43.18,4,92,80,219,86,11
10,2283,42.9,8,108,40,206,140,11
11,5526,40.54,0,76,40,252,90,11
12,4400,39.63,8,64,120,164,110,11
13,5750,38.45,0,72,40,245,78,11
14,4723,38.09,4,52,120,213,84,11
15,3158,38.0,8,32,40,295,62,11
16,4782,37.9,0,60,40,257,84,11
17,3526,37.81,8,60,40,234,92,11
18,4403,37.09,8,100,40,212,116,11
19,3527,37.09,0,76,0,226,118,11
20,4355,36.0,0,64,0,226,124,11
21,5705,35.81,0,56,40,240,94,11
22,4584,35.54,0,56,0,235,118,11
23,3472,35.0,4,44,40,239,80,11
24,4010,34.72,0,68,80,178,92,11
25,3354,34.45,0,52,80,213,70,11
26,4635,33.63,4,64,80,140,112,11
27,5696,33.45,0,44,40,198,116,11
28,4603,33.27,0,72,0,230,106,11
29,4775,32.72,0,32,40,206,100,11
30,4371,31.27,0,52,40,172,104,11
31,4262,30.09,12,40,40,179,96,11
32,4731,30.0,0,60,40,162,98,11
33,5312,29.63,0,64,40,151,104,11
34,5344,29.09,0,64,40,174,72,11
35,5716,28.36,0,36,40,178,92,11
36,3510,27.81,0,32,40,188,58,11
37,4842,26.72,0,28,40,165,84,11
38,4685,26.27,0,48,0,197,74,11
39,4746,25.0,0,32,40,189,62,11
